id,listing_url,longitude,latitude,guest_num,room_type,price,instant_bookable,bedrooms,beds,bathrooms,superhost,pet_allowed,event_allowed,smoking_allowed,Free_parking,Family_kid_friendly,Washer,Hangers,Lock_on_bedroom_door,Wireless_Internet,Laptop_friendly_workspace,TV,Shampoo,Self_Check_in,Heating,Hair_dryer,Indoor_fireplace,Dryer,Iron,Breakfast,Doorman,Buzzer_wireless_intercom,Air_conditioning,Pool,Kitchen,crime_count
15378305,https://www.airbnb.com/rooms/15378305,-79.54438074893142,43.72089886200176,1,Private room,35.0,f,1,1,1.5,t,1,1,1,0,1,1,1,0,1,0,1,1,0,1,1,0,1,1,0,0,1,1,1,1,14
15550880,https://www.airbnb.com/rooms/15550880,-79.55238489874452,43.719408858186426,2,Entire home/apt,76.0,t,0,1,1.0,f,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,3
4922370,https://www.airbnb.com/rooms/4922370,-79.36377938712397,43.65626514014165,2,Private room,59.0,t,1,1,1.0,f,1,1,0,0,1,1,1,0,1,1,1,1,0,1,1,0,1,1,0,0,0,1,0,1,27
390395,https://www.airbnb.com/rooms/390395,-79.36281324836305,43.657652052634106,2,Private room,65.0,f,1,1,1.0,f,0,0,0,1,0,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,0,1,0,1,16
16710897,https://www.airbnb.com/rooms/16710897,-79.36337554397862,43.65917164847204,2,Private room,61.0,t,1,1,1.0,f,1,1,1,1,1,1,0,1,1,0,1,1,0,1,0,1,1,0,0,1,1,1,0,1,12
18934039,https://www.airbnb.com/rooms/18934039,-79.36451300200812,43.657371386643774,2,Private room,80.0,f,1,1,1.0,t,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,0,1,1,0,0,0,1,0,1,13
6406028,https://www.airbnb.com/rooms/6406028,-79.36245780031666,43.65759901692008,1,Private room,55.0,t,1,1,1.0,f,1,1,0,0,1,1,1,0,1,1,0,1,0,1,1,0,1,1,0,0,0,1,0,1,15
13372579,https://www.airbnb.com/rooms/13372579,-79.36353778478939,43.66123565094889,2,Private room,59.0,f,1,2,1.0,f,0,1,1,0,1,0,1,0,1,1,1,1,0,1,1,0,0,1,0,0,0,1,0,1,3
16420888,https://www.airbnb.com/rooms/16420888,-79.35716507871452,43.65833553878377,3,Private room,55.0,t,1,2,1.0,t,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,1,5
16062738,https://www.airbnb.com/rooms/16062738,-79.36570436452388,43.65896655625767,2,Private room,109.0,f,1,1,1.0,t,1,0,0,0,0,1,1,1,1,0,1,1,0,1,1,0,1,1,0,0,0,1,0,1,25
727763,https://www.airbnb.com/rooms/727763,-79.36437488837988,43.65738326321993,2,Private room,55.0,f,1,1,1.0,f,1,1,1,0,1,1,1,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,13
13815423,https://www.airbnb.com/rooms/13815423,-79.36378575404157,43.65931228411665,1,Private room,47.0,f,1,1,1.0,f,1,0,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,19
4922558,https://www.airbnb.com/rooms/4922558,-79.36230483934185,43.656586757898296,2,Private room,120.0,f,1,2,2.0,f,1,1,0,0,1,1,1,0,1,1,1,1,0,1,1,0,1,1,0,0,0,1,0,1,21
